dealer_id,dealer_tier,dealer_geo,is_subscribed,avg_response_time_hours,dealer_close_skill,price_elasticity_index
dlr_000000,mid,FR,1,14.65,-1.071,1.049
dlr_000001,small,DE,1,12.97,-1.403,1.233
dlr_000002,small,DE,0,11.56,-0.633,1.288
dlr_000003,small,RO,0,15.6,-0.848,1.204
dlr_000004,mid,DE,1,8.77,1.359,1.244
dlr_000005,mid,FR,1,11.59,-0.611,1.094
dlr_000006,mid,FR,0,12.17,-0.033,1.268
dlr_000007,small,DE,1,13.04,0.229,1.432
dlr_000008,small,BE,1,19.96,0.721,1.164
dlr_000009,small,PL,0,19.36,-1.176,1.032
dlr_000010,small,DE,1,2.57,1.998,1.357
dlr_000011,small,IT,0,13.66,1.262,1.211
dlr_000012,mid,DE,1,5.44,0.511,1.114
dlr_000013,mid,FR,1,8.96,0.555,1.015
dlr_000014,small,AT,0,7.61,-1.583,1.347
dlr_000015,small,ES,0,17.89,0.161,1.031
dlr_000016,small,DK,1,16.94,0.061,1.402
dlr_000017,mid,RO,1,7.95,1.486,1.067
dlr_000018,small,DE,0,5.25,-1.392,1.225
dlr_000019,mid,ES,1,10.44,-1.181,1.232
dlr_000020,small,IT,0,3.98,0.27,1.066
dlr_000021,mid,NL,1,11.59,-0.518,0.685
dlr_000022,small,PL,1,4.64,2.473,1.15
dlr_000023,mid,NL,1,10.72,-0.802,1.073
dlr_000024,mid,IT,1,8.64,1.542,1.132
dlr_000025,small,DE,0,7.05,-2.177,1.43
dlr_000026,mid,PL,1,11.72,0.683,1.246
dlr_000027,small,BE,1,7.66,1.269,1.304
dlr_000028,small,SE,1,1.6,-1.58,1.345
dlr_000029,mid,ES,1,10.33,-2.266,0.859
dlr_000030,small,IT,1,12.92,-2.5,1.339
dlr_000031,small,DE,1,6.68,0.156,1.343
dlr_000032,small,NL,0,12.07,-0.349,1.353
dlr_000033,mid,AT,1,18.24,0.031,0.802
dlr_000034,small,DE,1,7.91,1.45,1.231
dlr_000035,small,BE,1,18.22,-0.004,1.358
dlr_000036,small,DE,0,11.28,-0.225,0.928
dlr_000037,small,NL,1,15.59,-0.816,1.218
dlr_000038,small,FR,1,1.68,1.136,1.163
dlr_000039,small,ES,0,9.65,0.287,1.297
dlr_000040,small,DE,1,2.83,-0.464,1.242
dlr_000041,small,DE,1,16.14,0.743,1.16
dlr_000042,small,ES,1,2.33,-0.734,1.137
dlr_000043,enterprise,DE,1,8.79,-0.633,0.884
dlr_000044,small,DE,1,8.07,0.301,1.083
dlr_000045,small,BE,1,13.97,-1.247,1.221
dlr_000046,mid,FR,1,12.38,-1.277,0.943
dlr_000047,small,IT,1,8.86,-0.15,1.254
dlr_000048,mid,SE,1,16.61,0.159,0.87
dlr_000049,small,NL,1,12.75,-0.42,1.21
dlr_000050,mid,IT,1,9.01,-0.233,1.02
dlr_000051,small,AT,1,11.44,0.562,1.403
dlr_000052,mid,CH,1,12.88,-0.833,1.14
dlr_000053,mid,NL,1,10.32,-2.268,1.333
dlr_000054,mid,PL,1,15.01,0.947,1.061
dlr_000055,small,DK,1,3.9,-1.467,1.334
dlr_000056,small,DE,0,7.99,-0.926,1.097
dlr_000057,small,NL,0,4.27,-1.666,1.485
dlr_000058,mid,IT,0,21.47,0.252,1.286
dlr_000059,mid,PL,1,9.7,0.558,1.055
dlr_000060,mid,RO,1,12.29,1.484,1.181
dlr_000061,small,DE,1,12.88,1.544,1.216
dlr_000062,small,BE,1,5.34,1.209,1.136
dlr_000063,small,BE,1,8.35,0.078,1.246
dlr_000064,small,AT,1,10.56,0.305,1.379
dlr_000065,small,DE,1,5.02,0.2,1.311
dlr_000066,small,FR,1,11.32,-0.315,1.276
dlr_000067,small,AT,0,13.91,0.683,1.51
dlr_000068,small,PL,1,20.48,0.228,1.306
dlr_000069,mid,RO,0,11.43,-0.437,1.347
dlr_000070,small,FR,1,13.79,0.78,1.373
dlr_000071,mid,AT,1,7.75,0.082,1.143
dlr_000072,small,DE,1,4.69,0.409,1.367
dlr_000073,mid,BE,0,13.13,-0.735,0.968
dlr_000074,small,FR,1,12.74,-2.5,1.174
dlr_000075,small,PL,1,8.63,0.18,1.242
dlr_000076,enterprise,RO,1,2.75,-1.48,1.164
dlr_000077,small,FR,0,10.73,1.133,1.287
dlr_000078,small,PL,1,13.28,-0.409,1.182
dlr_000079,mid,FR,1,9.83,-1.302,1.188
dlr_000080,small,IT,0,18.6,-0.648,1.289
dlr_000081,enterprise,SE,1,4.0,-0.122,0.845
dlr_000082,small,RO,0,2.78,1.072,1.143
dlr_000083,small,RO,1,12.18,1.242,1.068
dlr_000084,small,ES,1,8.32,0.039,1.365
dlr_000085,small,DE,1,7.82,-0.638,1.167
dlr_000086,small,ES,1,5.57,0.461,1.024
dlr_000087,small,IT,1,10.09,-0.469,1.413
dlr_000088,mid,ES,1,20.86,1.212,0.957
dlr_000089,enterprise,FR,1,9.06,-0.945,0.865
dlr_000090,small,RO,1,9.17,1.965,1.179
dlr_000091,small,DE,0,13.24,0.331,1.506
dlr_000092,enterprise,RO,1,5.53,-0.382,0.787
dlr_000093,small,BE,0,5.85,0.942,1.441
dlr_000094,small,IT,1,14.21,0.56,1.483
dlr_000095,small,RO,0,13.31,0.69,1.28
dlr_000096,mid,DE,0,10.89,0.416,0.932
dlr_000097,mid,FR,1,7.71,0.327,0.768
dlr_000098,small,FR,1,7.04,1.159,1.286
dlr_000099,mid,SE,1,4.16,-0.582,1.292
dlr_000100,mid,DK,1,7.46,1.067,0.942
dlr_000101,small,DE,0,7.75,-0.431,1.426
dlr_000102,mid,AT,1,15.53,0.659,0.989
dlr_000103,enterprise,PL,1,0.5,1.53,0.99
dlr_000104,small,DE,0,3.17,1.202,1.429
dlr_000105,small,AT,1,16.23,-0.129,1.241
dlr_000106,mid,FR,1,14.34,-1.65,1.166
dlr_000107,small,ES,1,2.31,0.88,1.257
dlr_000108,small,FR,1,6.72,-1.024,1.153
dlr_000109,small,NL,1,2.39,0.229,0.973
dlr_000110,enterprise,NL,1,4.27,-0.392,0.607
dlr_000111,small,DE,0,2.24,0.826,1.086
dlr_000112,mid,SE,1,11.15,-0.756,1.314
dlr_000113,small,DE,0,13.85,-1.183,1.287
dlr_000114,small,DE,1,9.07,-2.102,1.276
dlr_000115,small,FR,0,16.51,0.247,1.243
dlr_000116,small,DE,0,15.51,-0.371,1.105
dlr_000117,small,FR,1,3.95,-0.721,1.247
dlr_000118,small,SE,1,1.46,-0.12,1.083
dlr_000119,mid,FR,1,11.21,0.311,1.126
dlr_000120,mid,FR,1,18.28,0.518,0.822
dlr_000121,small,DK,0,13.02,-1.382,1.207
dlr_000122,small,IT,1,14.8,0.701,1.365
dlr_000123,enterprise,SE,1,8.01,0.794,0.943
dlr_000124,small,DE,1,17.75,-2.5,1.268
dlr_000125,enterprise,FR,1,0.5,0.531,0.853
dlr_000126,small,DE,1,4.81,0.721,1.455
dlr_000127,small,FR,1,13.76,-0.522,1.271
dlr_000128,mid,DE,1,11.98,-1.181,0.944
dlr_000129,small,DE,0,13.93,0.155,1.31
dlr_000130,small,DE,1,9.57,-1.298,1.234
dlr_000131,small,IT,1,8.84,1.026,1.218
dlr_000132,small,DE,1,5.27,0.035,1.295
dlr_000133,mid,SE,1,1.52,1.549,0.911
dlr_000134,small,ES,1,2.2,-0.61,1.065
dlr_000135,small,DE,0,11.86,0.7,1.153
dlr_000136,small,DE,0,14.18,0.149,0.945
dlr_000137,mid,RO,1,7.67,-0.709,1.284
dlr_000138,mid,DE,1,6.94,-0.853,1.317
dlr_000139,small,FR,0,5.03,0.696,1.274
dlr_000140,small,DE,0,14.58,0.893,1.108
dlr_000141,small,DE,1,13.95,0.823,1.36
dlr_000142,small,BE,1,0.5,-0.499,1.317
dlr_000143,small,DE,0,16.77,-0.511,1.506
dlr_000144,enterprise,FR,1,2.5,2.5,0.659
dlr_000145,small,FR,0,14.17,0.507,1.073
dlr_000146,small,AT,1,2.0,0.64,1.048
dlr_000147,small,IT,0,0.5,0.389,1.2
dlr_000148,small,DK,0,16.95,0.894,1.084
dlr_000149,small,NL,1,26.24,0.156,1.305
dlr_000150,small,NL,1,14.83,-0.347,1.564
dlr_000151,small,FR,0,9.95,-1.408,1.459
dlr_000152,mid,RO,1,10.67,-2.001,0.823
dlr_000153,small,FR,0,14.11,-0.831,1.317
dlr_000154,small,ES,1,10.37,-2.005,1.288
dlr_000155,enterprise,CH,1,13.32,-1.029,0.99
dlr_000156,mid,FR,1,7.54,0.054,1.057
dlr_000157,mid,IT,1,9.16,-0.646,0.991
dlr_000158,small,DE,1,0.6,0.537,1.198
dlr_000159,enterprise,PL,1,10.41,-0.731,0.531
dlr_000160,small,ES,1,10.61,0.399,1.196
dlr_000161,small,AT,1,20.7,-0.471,1.225
dlr_000162,enterprise,IT,1,20.63,-2.5,0.969
dlr_000163,mid,ES,0,12.38,1.836,1.088
dlr_000164,small,FR,1,6.95,-0.373,1.179
dlr_000165,mid,IT,1,14.52,-0.635,1.207
dlr_000166,mid,RO,1,12.42,-1.559,1.08
dlr_000167,small,ES,0,11.8,0.522,1.056
dlr_000168,enterprise,DE,1,2.39,0.989,0.748
dlr_000169,small,DE,0,14.48,-0.602,1.144
dlr_000170,small,ES,1,19.66,-0.436,1.266
dlr_000171,small,BE,0,9.87,0.722,1.107
dlr_000172,mid,IT,0,11.38,-0.757,1.185
dlr_000173,small,DE,0,10.93,1.422,1.299
dlr_000174,enterprise,ES,1,5.3,0.801,0.797
dlr_000175,mid,PL,1,12.37,0.24,1.042
dlr_000176,small,FR,1,16.18,-1.089,1.18
dlr_000177,mid,SE,1,15.88,0.542,1.073
dlr_000178,small,ES,1,11.12,-1.356,1.215
dlr_000179,mid,FR,1,5.57,0.279,1.222
dlr_000180,mid,IT,1,4.16,-1.863,0.826
dlr_000181,small,AT,0,12.4,1.012,1.174
dlr_000182,small,DE,0,8.78,1.429,1.28
dlr_000183,small,IT,1,3.73,-0.736,0.94
dlr_000184,small,BE,1,10.79,1.133,1.378
dlr_000185,small,ES,0,21.42,-1.36,1.305
dlr_000186,small,ES,0,4.49,-0.268,1.365
dlr_000187,small,DE,0,5.49,0.403,0.853
dlr_000188,mid,CH,1,12.93,0.158,1.205
dlr_000189,small,DE,1,3.11,-0.211,1.484
dlr_000190,small,DE,1,10.04,0.579,1.343
dlr_000191,enterprise,DE,1,8.24,0.785,1.023
dlr_000192,small,BE,0,17.06,-0.001,1.275
dlr_000193,enterprise,ES,1,14.11,-0.257,0.906
dlr_000194,mid,AT,1,7.05,-1.006,1.093
dlr_000195,mid,IT,1,12.38,-0.259,1.493
dlr_000196,mid,DE,1,12.58,-0.539,1.051
dlr_000197,small,FR,1,9.64,0.86,1.192
dlr_000198,small,DE,1,24.03,0.025,1.175
dlr_000199,small,DE,0,11.52,1.137,1.47
dlr_000200,small,PL,0,24.23,-1.746,1.188
dlr_000201,mid,ES,1,13.59,1.396,1.162
dlr_000202,mid,FR,1,14.1,-0.569,0.983
dlr_000203,small,DE,1,26.82,0.892,1.451
dlr_000204,mid,IT,1,20.26,-0.374,1.174
dlr_000205,small,ES,0,6.11,0.525,1.341
dlr_000206,small,RO,0,11.9,-0.102,1.522
dlr_000207,small,ES,0,6.58,0.394,1.061
dlr_000208,small,AT,1,6.99,0.088,1.558
dlr_000209,small,DE,1,14.35,1.619,1.479
dlr_000210,small,FR,1,6.62,-0.2,1.422
dlr_000211,enterprise,DE,0,4.5,0.84,0.877
dlr_000212,mid,DE,1,9.05,0.308,1.229
dlr_000213,mid,CH,1,12.96,-1.285,1.106
dlr_000214,small,IT,0,27.34,0.648,1.331
dlr_000215,small,DE,0,16.78,0.472,1.643
dlr_000216,mid,IT,0,1.86,-1.046,0.973
dlr_000217,small,DE,1,6.08,-1.801,1.129
dlr_000218,enterprise,FR,1,9.6,0.63,0.86
dlr_000219,small,IT,1,16.14,0.107,1.104
dlr_000220,small,DE,0,14.12,-0.439,1.14
dlr_000221,enterprise,ES,1,6.2,-0.143,0.872
dlr_000222,mid,ES,0,16.5,0.825,1.097
dlr_000223,small,ES,1,12.38,-0.871,1.522
dlr_000224,small,FR,0,0.5,-0.514,1.143
dlr_000225,small,NL,1,4.61,0.205,1.318
dlr_000226,mid,PL,1,22.45,0.514,0.81
dlr_000227,mid,DE,1,12.4,0.379,1.17
dlr_000228,small,IT,1,14.14,2.314,1.322
dlr_000229,small,FR,0,16.82,0.458,1.106
dlr_000230,small,DE,1,9.77,1.006,1.306
dlr_000231,mid,PL,0,9.96,-2.5,0.96
dlr_000232,small,ES,1,15.47,1.938,0.805
dlr_000233,mid,DE,1,5.93,1.207,0.785
dlr_000234,small,BE,0,3.54,-1.676,0.964
dlr_000235,small,FR,0,5.43,-1.325,1.305
dlr_000236,small,FR,1,10.49,-0.162,1.183
dlr_000237,mid,DE,0,3.15,0.293,1.07
dlr_000238,small,FR,1,10.51,0.763,1.288
dlr_000239,small,FR,1,13.08,0.565,1.234
dlr_000240,small,RO,0,15.86,-1.215,1.221
dlr_000241,small,DE,0,15.04,0.212,1.391
dlr_000242,small,RO,0,24.97,0.805,1.064
dlr_000243,small,FR,1,4.95,-0.223,1.269
dlr_000244,small,FR,1,8.94,-0.21,1.325
dlr_000245,mid,SE,1,15.49,0.987,1.124
dlr_000246,mid,PL,1,14.65,-0.682,0.886
dlr_000247,mid,ES,1,4.06,-0.701,0.898
dlr_000248,small,FR,1,12.36,0.725,1.039
dlr_000249,mid,FR,1,15.99,-0.341,0.892
dlr_000250,enterprise,FR,1,21.12,0.898,0.917
dlr_000251,enterprise,ES,1,19.34,-1.055,0.928
dlr_000252,small,BE,0,15.38,-0.288,1.192
dlr_000253,mid,RO,0,17.08,-0.391,1.001
dlr_000254,small,IT,1,7.31,1.46,1.066
dlr_000255,small,FR,1,17.53,-0.668,1.423
dlr_000256,small,ES,0,21.61,0.421,0.792
dlr_000257,small,DE,0,9.92,-0.017,1.439
dlr_000258,mid,IT,1,8.19,-0.367,1.257
dlr_000259,small,PL,0,8.57,1.152,1.178
dlr_000260,small,IT,0,9.64,0.7,1.324
dlr_000261,small,FR,0,2.41,0.7,1.369
dlr_000262,mid,DE,1,3.47,-0.114,1.042
dlr_000263,mid,FR,1,1.98,-0.091,1.025
dlr_000264,enterprise,DE,1,17.88,1.057,0.954
dlr_000265,small,IT,0,14.01,1.397,1.112
dlr_000266,small,AT,1,3.78,-0.268,1.206
dlr_000267,small,DE,0,14.89,-0.408,1.389
dlr_000268,mid,DE,1,11.48,-1.299,1.125
dlr_000269,small,CH,0,14.7,-1.032,1.246
dlr_000270,mid,IT,1,17.96,0.627,1.149
dlr_000271,mid,FR,1,6.23,-1.718,0.957
dlr_000272,small,DE,0,14.51,0.615,1.245
dlr_000273,small,DK,0,9.81,-0.291,1.488
dlr_000274,small,FR,1,3.33,-0.907,1.624
dlr_000275,small,NL,1,13.31,-0.123,1.211
dlr_000276,mid,BE,0,7.59,-0.882,1.218
dlr_000277,mid,CH,1,6.14,-1.389,0.927
dlr_000278,mid,ES,1,15.38,-0.207,1.051
dlr_000279,small,ES,0,15.15,0.795,1.206
